"","location","date","total_deaths_per_million","mask_category"
"672","Ukraine",87,0.327,2
"673","Portugal",87,14.604,3
"674","Germany",87,24.529,2
"675","France",87,41.964,3
"676","Finland",87,25.448,1
"677","Norway",87,5.152,1
"678","Hungary",87,2.007,3
"679","United Kingdom",87,63.695,2
"680","Romania",87,4.171,3
"681","Poland",87,0.828,3
"682","Czechia",87,3.335,1
"683","Estonia",87,55.05,2
"684","Spain",87,180.346,3
"685","Belarus",87,0.21,1
"686","Slovenia",87,6.133,2
"687","Albania",87,3.87,1
"688","Bulgaria",87,1.18,1
"689","Lithuania",88,2.182,3
"690","Poland",88,1.079,3
"691","Ireland",88,21.7,2
"692","Portugal",88,14.604,3
"693","North Macedonia",88,2.866,2
"694","Croatia",88,1.489,1
"695","Hungary",88,2.107,3
"696","Estonia",88,55.05,2
"697","France",88,41.964,3
"698","Italy",88,222.825,3
"699","Spain",88,180.346,3
"700","Switzerland",88,61.896,1
"701","United Kingdom",88,75.946,2
"702","Bulgaria",88,1.18,1
"703","Austria",88,13.871,1
"704","Germany",88,24.529,2
"705","Norway",88,5.888,1
"706","Finland",88,27.614,1
"707","Czechia",88,4.098,1
"708","Greece",88,4.044,3
"709","Romania",88,4.68,3
"710","Belarus",88,0.21,1
"711","Slovenia",88,6.133,2
"712","Ukraine",88,0.327,2
"713","Slovakia",88,0.177,3
"714","Albania",88,4.574,1
"715","Sweden",88,36.495,1
"716","Serbia",88,4.075,1
"717","Belgium",88,121.054,2
"718","Netherlands",88,64.45,1
"719","Denmark",88,17.68,1
"720","Bosnia and Herzegovina",88,4.02,1
"721","Sweden",89,43.131,1
"722","Belgium",89,141.731,2
"723","Hungary",89,2.609,3
"724","Croatia",89,1.737,1
"725","Ukraine",89,0.327,2
"726","Slovenia",89,6.133,2
"727","Lithuania",89,2.182,3
"728","Ireland",89,25.681,2
"729","Romania",89,5.85,3
"730","Greece",89,4.044,3
"731","Serbia",89,4.511,1
"732","Netherlands",89,64.45,1
"733","France",89,41.964,3
"734","Italy",89,235.698,3
"735","United Kingdom",89,89.603,2
"736","Belarus",89,0.42,1
"737","Norway",89,7.729,1
"738","Albania",89,5.277,1
"739","Austria",89,15.101,1
"740","Finland",89,29.418,1
"741","Czechia",89,4.669,1
"742","Slovakia",89,0.177,3
"743","Denmark",89,20.91,1
"744","North Macedonia",89,2.866,2
"745","Bulgaria",89,1.18,1
"746","Germany",89,24.529,2
"747","Spain",89,180.346,3
"748","Estonia",89,55.05,2
"749","Bosnia and Herzegovina",89,4.639,1
"750","Portugal",89,14.604,3
"751","Poland",89,1.43,3
"752","Switzerland",89,68.875,1
"753","Albania",90,5.629,1
"754","Ukraine",90,0.327,2
"755","Greece",90,4.044,3
"756","Sweden",90,50.714,1
"757","Slovakia",90,0.177,3
"758","Bulgaria",90,1.18,1
"759","Slovenia",90,6.133,2
"760","Belarus",90,0.42,1
"761","Finland",90,31.945,1
"762","Czechia",90,5.432,1
"763","France",90,41.964,3
"764","Poland",90,1.781,3
"765","Germany",90,24.529,2
"766","Denmark",90,23.63,1
"767","Serbia",90,5.676,1
"768","Spain",90,180.346,3
"769","Italy",90,248.673,3
"770","Lithuania",90,2.545,3
"771","Netherlands",90,64.45,1
"772","Croatia",90,1.985,1
"773","Portugal",90,14.604,3
"774","United Kingdom",90,104.505,2
"775","Romania",90,6.765,3
"776","Switzerland",90,75.396,1
"777","Ireland",90,30.061,2
"778","Belgium",90,160.176,2
"779","Austria",90,17.115,1
"780","Estonia",90,55.05,2
"781","Bosnia and Herzegovina",90,5.567,1
"782","Hungary",90,3.21,3
"783","North Macedonia",90,2.866,2
"784","Norway",90,8.097,1
"785","Bulgaria",91,2.949,1
"786","Belgium",91,180.852,2
"787","Finland",91,34.111,1
"788","Netherlands",91,131.917,1
"789","Switzerland",91,81.689,1
"790","Hungary",91,3.411,3
"791","United Kingdom",91,120.147,2
"792","Romania",91,7.427,3
"793","Portugal",91,34.661,3
"794","Latvia",91,1.081,2
"795","France",91,92.655,3
"796","Italy",91,260.208,3
"797","North Macedonia",91,10.986,2
"798","Albania",91,5.981,1
"799","Estonia",91,67.116,2
"800","Greece",91,7.415,3
"801","Slovakia",91,0.177,3
"802","Sweden",91,57.35,1
"803","Czechia",91,6.289,1
"804","Lithuania",91,2.909,3
"805","Norway",91,9.201,1
"806","Germany",91,51.793,2
"807","Croatia",91,2.977,1
"808","Belarus",91,0.42,1
"809","Bosnia and Herzegovina",91,6.494,1
"810","Ukraine",91,0.907,2
"811","Poland",91,1.982,3
"812","Denmark",91,27.37,1
"813","Slovenia",91,15.567,2
